time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-28T16:18:18.190Z,19.4559994,-155.5981598,-1.32,2.71,ml,8,76,0.00599,0.1,hv,hv70972121,2019-05-28T16:23:59.130Z,"27km E of Honaunau-Napoopoo, Hawaii",earthquake,0.56,0.47,0.41,8,automatic,hv,hv
2019-05-28T15:35:39.538Z,48.7192,153.3762,122.19,4.8,mb,,63,5.175,0.71,us,us60003t2r,2019-05-28T16:16:50.040Z,"294km SW of Severo-Kuril'sk, Russia",earthquake,9.1,2.2,0.028,387,reviewed,us,us
2019-05-28T15:31:30.080Z,18.2068,-67.7248,10,2.77,md,19,182,0.3031,0.57,pr,pr2019148007,2019-05-28T16:30:55.040Z,"40km W of Rincon, Puerto Rico",earthquake,1.52,2.04,0.25,17,reviewed,pr,pr
2019-05-28T15:00:27.157Z,-8.6239,108.6426,98.83,4.7,mb,,78,1.99,0.55,us,us60003t22,2019-05-28T15:57:55.040Z,"92km SSE of Sindangsari, Indonesia",earthquake,8.9,9.1,0.11,25,reviewed,us,us
2019-05-28T14:41:45.039Z,-8.9085,-74.5369,148.39,4.5,mb,,107,2.158,0.6,us,us60003t1j,2019-05-28T15:12:01.040Z,"56km SSE of Campoverde, Peru",earthquake,10.9,12.2,0.124,19,reviewed,us,us
2019-05-28T14:34:20.284Z,-14.6041,167.246,202.44,4.5,mb,,55,7.466,0.45,us,us60003t1i,2019-05-28T15:04:24.040Z,"53km NNE of Port-Olry, Vanuatu",earthquake,10.9,7.9,0.068,63,reviewed,us,us
2019-05-28T13:31:33.646Z,39.6204,-106.9002,5,2.7,ml,,119,1.008,0.39,us,us60003t0z,2019-05-28T17:03:35.944Z,"5km SE of Gypsum, Colorado",earthquake,2.7,2,0.051,51,reviewed,us,us
2019-05-28T13:00:47.786Z,-23.2048,-179.796,564.96,4.5,mb,,68,5.794,0.79,us,us60003t0u,2019-05-28T14:15:33.040Z,"South of the Fiji Islands",earthquake,12.5,8.2,0.069,61,reviewed,us,us
2019-05-28T10:53:18.640Z,-12.8707,45.5139,10,4.6,mb,,64,6.33,0.54,us,us60003szu,2019-05-28T13:12:43.040Z,"26km ESE of Pamandzi, Mayotte",earthquake,6.6,1.7,0.098,31,reviewed,us,us
2019-05-28T06:58:09.260Z,18.2273,-68.9856,93,3,md,8,230,1.0816,0.69,pr,pr2019148004,2019-05-28T09:06:08.117Z,"22km S of La Romana, Dominican Republic",earthquake,7.24,3.94,0.56,7,reviewed,pr,pr
